season,team_id,team,team_season_id,snapshot_date,checkpoint_pct,dataset_role,made_playoffs,season_pct,points_per_game,win_pct,goal_diff_per_game,last_5_points,last_5_goal_diff,points_rank_pct,points_gap_to_cutline,playoff_share,games_played,scheduled_games,games_remaining,league_teams,playoff_spots,points,match_points,points_adjustment,wins,draws,losses,goals_for,goals_against,goal_diff,cutline_points,last_5_games,last_match_date,baseline_top_k,source_url
2016,15362,Portland Thorns FC,2016_15362,2016-07-30,0.7,train,Yes,0.75,1.9333333333333333,0.5333333333333333,0.5333333333333333,9,-1,0.0,4,0.4,15,20,5,10,4,29,29,0,8,5,2,20,12,8,25,5,2016-07-30,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15365,Washington Spirit,2016_15365,2016-07-30,0.7,train,Yes,0.65,2.0,0.6153846153846154,0.6153846153846154,9,3,0.16666666666666666,1,0.4,13,20,7,10,4,26,26,0,8,2,3,19,11,8,25,5,2016-07-23,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15360,Chicago Red Stars,2016_15360,2016-07-30,0.7,train,Yes,0.75,1.6666666666666667,0.4666666666666667,0.06666666666666667,7,-2,0.3333333333333333,0,0.4,15,20,5,10,4,25,25,0,7,4,4,14,13,1,25,5,2016-07-30,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15366,Western New York Flash,2016_15366,2016-07-30,0.7,train,Yes,0.75,1.7333333333333334,0.5333333333333333,0.7333333333333333,8,2,0.16666666666666666,1,0.4,15,20,5,10,4,26,26,0,8,2,5,29,18,11,25,5,2016-07-30,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15363,Seattle Reign FC,2016_15363,2016-07-30,0.7,train,No,0.75,1.3333333333333333,0.3333333333333333,0.26666666666666666,7,3,0.5555555555555556,-5,0.4,15,20,5,10,4,20,20,0,5,5,5,18,14,4,25,5,2016-07-30,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15361,FC Kansas City,2016_15361,2016-07-30,0.7,train,No,0.75,1.0666666666666667,0.26666666666666666,-0.2,6,-2,0.7777777777777778,-9,0.4,15,20,5,10,4,16,16,0,4,4,7,11,14,-3,25,5,2016-07-30,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15364,Sky Blue FC,2016_15364,2016-07-30,0.7,train,No,0.7,1.5714285714285714,0.42857142857142855,0.0,12,3,0.4444444444444444,-3,0.4,14,20,6,10,4,22,22,0,6,4,4,17,17,0,25,5,2016-07-23,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,17346,Houston Dash,2016_17346,2016-07-30,0.7,train,No,0.65,0.9230769230769231,0.23076923076923078,-0.15384615384615385,5,1,0.8888888888888888,-13,0.4,13,20,7,10,4,12,12,0,3,3,7,13,15,-2,25,5,2016-07-30,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,18206,Orlando Pride,2016_18206,2016-07-30,0.7,train,No,0.7,1.2857142857142858,0.42857142857142855,-0.2857142857142857,6,-3,0.6666666666666666,-7,0.4,14,20,6,10,4,18,18,0,6,0,8,14,18,-4,25,5,2016-07-23,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15359,Boston Breakers,2016_15359,2016-07-30,0.7,train,No,0.65,0.3076923076923077,0.07692307692307693,-1.7692307692307692,0,-13,1.0,-21,0.4,13,20,7,10,4,4,4,0,1,1,11,6,29,-23,25,5,2016-07-17,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15362,Portland Thorns FC,2016_15362,2016-08-31,0.8,train,Yes,0.8,1.8125,0.5,0.375,6,-4,0.1111111111111111,2,0.4,16,20,4,10,4,29,29,0,8,5,3,21,15,6,27,5,2016-08-27,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
